type,tcgplayer_url,cardmarket_url,card_info_name,card_info_clean_name,card_info_set_name,card_info_set_code,card_info_set_id,card_info_card_number,card_info_rarity,card_info_card_type,card_info_hp,card_info_stage,card_info_card_text,card_info_attacks,card_info_weakness,card_info_resistance,card_info_retreat_cost,tcgplayer_prices_low_price,tcgplayer_prices_mid_price,tcgplayer_prices_high_price,tcgplayer_prices_updated_at,tcgplayer_prices_market_price,tcgplayer_prices_direct_low_price,tcgplayer_prices_sub_type_name,cardmarket_prices_avg,cardmarket_prices_low,cardmarket_prices_avg1,cardmarket_prices_avg7,cardmarket_prices_avg30,cardmarket_prices_trend,cardmarket_prices_updated_at,cardmarket_prices_variant_type,tcgplayer_prices,cardmarket_prices
Card,https://www.tcgplayer.com/product/610503,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Hearthflame-Mask-Ogerpon-ex-V2-PRE148,Hearthflame Mask Ogerpon ex - 148/131,Hearthflame Mask Ogerpon ex,SV: Prismatic Evolutions,PRE,23821,148/131,Special Illustration Rare,Fire,210.0,Basic,,"['[RCC] Wrathful Hearth (20x)<br> This attack does 20 damage for each damage counter on this Pokemon.', ""[RRR] Dynamic Blaze (140+)<br> If your opponent's Active Pokemon is an Evolution Pokemon, this attack does 140 more damage, and discard all Energy from this Pokemon.""]",Wx2,,1.0,18.0,23.0,999.0,2026-06-12T08:53:22.81957,20.26,,Holofoil,18.28,8.0,29.64,19.76,18.55,17.86,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610476,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professor-Turos-Scenario-PRE121,Professor Turo's Scenario,Professor Turos Scenario,SV: Prismatic Evolutions,PRE,23821,121/131,Uncommon,Trainer - Supporter,,,Put 1 of your Pokemon in play into your hand. <em>(Discard all cards attached to that Pokemon.)</em>,[],,,,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.14,0.06,Normal,0.03,0.02,0.02,0.02,0.03,0.03,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610467,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Janines-Secret-Art-V1-PRE112,Janine's Secret Art - 112/131,Janine's Secret Art,SV: Prismatic Evolutions,PRE,23821,112/131,Uncommon,Trainer - Supporter,,,"Choose up to 2 of your Darkness Pokemon. For each of those Pokemon, search your deck for a Basic Darkness Energy card and attach it to that Pokemon. Then, shuffle your deck. If you attached Energy to your Active Pokemon in this way, it is now Poisoned.",[],,,,0.01,0.22,999.0,2026-06-12T08:53:22.81957,0.22,0.01,Reverse Holofoil,0.06,0.02,0.02,0.05,0.05,0.06,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Aromatisse-PRE039,Aromatisse,,,PRE,23821,39,,,,,,,,,,,,,,,,,0.03,0.02,0.02,0.03,0.03,0.02,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610525,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Amarys-V3-PRE170,Amarys - 170/131,Amarys,SV: Prismatic Evolutions,PRE,23821,170/131,Special Illustration Rare,Trainer - Supporter,,,"Draw 4 cards. At the end of this turn, if you have 5 or more cards in your hand, discard your hand.",[],,,,13.25,17.5,999.0,2026-06-12T08:53:22.81957,15.91,17.0,Holofoil,19.99,12.9,15.99,18.6,19.33,18.51,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610461,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Earthen-Vessel-PRE106,Earthen Vessel,Earthen Vessel,SV: Prismatic Evolutions,PRE,23821,106/131,Uncommon,Trainer - Item,,,"You can use this card only if you discard another card from your hand.<br>Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",[],,,,0.04,0.3,999.0,2026-06-12T08:53:22.81957,0.3,0.18,Reverse Holofoil,0.07,0.02,0.02,0.05,0.07,0.08,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/165665,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Litleo-FLI018,Litleo,Litleo,SM - Forbidden Light,SM06,2209,18/131,Common,Fire,70.0,Basic,,['[2] Headbutt (20)'],Wx2,,2.0,15.29,17.65,20.0,2026-06-07T08:18:32.103877,1.26,,Reverse Holofoil,0.18,0.02,0.09,0.17,0.16,0.28,2026-06-07T07:58:38.080911,normal,,
Card,https://www.tcgplayer.com/product/605521,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Remoraid,Remoraid,Remoraid,CP4: Premium Champion Pack,CP4,23972,024/131,,Water,60.0,Basic,,"['[Colorless] Wild River<br> Switch this Pokémon with 1 of your Benched Pokémon.', '[Water][Colorless] Water Gun (20)']",Grass x2,,1.0,2.5,4.95,7.89,2026-06-07T08:18:41.300825,,,Normal,0.35,0.2,0.3,0.7,0.71,0.58,2026-06-07T07:58:42.177899,holo,,
Card,https://www.tcgplayer.com/product/610471,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Max-Rod-PRE116,Max Rod,Max Rod,SV: Prismatic Evolutions,PRE,23821,116/131,ACE SPEC Rare,Trainer - Item,,,Put up to 5 in any combination of Pokemon and Basic Energy cards from your discard pile into your hand.,[],,,,0.35,0.89,4321.0,2026-06-12T08:53:22.81957,0.75,0.84,Holofoil,0.94,0.1,1.5,0.95,0.95,0.97,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610482,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Roto-Stick-PRE127,Roto-Stick,Roto Stick,SV: Prismatic Evolutions,PRE,23821,127/131,Common,Trainer - Item,,,Look at the top 4 cards of your deck. You may reveal any number of Supporter cards you find there and put them into your hand. Shuffle the other cards back into your deck.,[],,,,0.03,0.25,999.0,2026-06-12T08:53:22.81957,0.25,,Reverse Holofoil,0.07,0.02,0.03,0.09,0.08,0.11,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Fezandipiti-PRE045,Fezandipiti,,,PRE,23821,45,,,,,,,,,,,,,,,,,0.1,0.02,0.13,0.1,0.1,0.09,2026-06-12T08:38:23.984889,holo,,
Card,https://www.tcgplayer.com/product/610458,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Carmine-PRE103,Carmine,Carmine,SV: Prismatic Evolutions,PRE,23821,103/131,Uncommon,Trainer - Supporter,,,"If you go first, you may use this card during your first turn.<br>Discard your hand and draw 5 cards.",[],,,,0.03,0.22,999.0,2026-06-12T08:53:22.81957,0.21,0.1,Reverse Holofoil,0.05,0.02,0.05,0.06,0.06,0.05,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610368,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Flareon-PRE013,Flareon,Flareon,SV: Prismatic Evolutions,PRE,23821,013/131,Rare,Fire,130.0,Stage 1,,"[""[R] Destructive Flame (30)<br> Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."", ""[RCC] Fighting Blaze (90+)<br> If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.""]",Wx2,,2.0,0.01,0.31,4321.0,2026-06-07T08:18:25.063387,0.32,0.18,Holofoil,0.29,0.02,0.24,0.34,0.28,0.32,2026-06-07T07:58:50.864461,holo,,
Card,https://www.tcgplayer.com/product/619725,,Eevee - 074/131 (Pokemon Day 2025) (Reverse Cosmos Holo),Eevee 074 131 Pokemon Day 2025 Reverse Cosmos Holo,Miscellaneous Cards & Products,MCAP,2374,074/131,Promo,Colorless,50.0,Basic,"<strong>Ability: Boosted Evolution</strong> As long as this Pokemon is in the Active Spot, it can evolve during your first turn or the turn you play it.",['[CC] Reckless Charge (30)<br> This Pokemon also does 10 damage to itself.'],Fx2,,1.0,2.49,5.19,96.95,2026-06-07T08:18:38.119676,4.93,5.17,Reverse Holofoil,,,,,,,,,,
Card,https://www.tcgplayer.com/product/610478,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professors-Research-Professor-Elm-PRE124,Professor's Research [Professor Elm],Professors Research Professor Elm,SV: Prismatic Evolutions,PRE,23821,123/131,Common,Trainer - Supporter,,,Discard your hand and draw 7 cards.,[],,,,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.12,0.01,Normal,0.1,0.02,0.05,0.1,0.09,0.11,2026-06-12T08:38:23.984889,holo,,
Card,https://www.tcgplayer.com/product/165672,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Frogadier-FLI23,Frogadier,Frogadier,SM - Forbidden Light,SM06,2209,23/131,Uncommon,Water,80.0,Stage 1,"<strong>Ability — Gale Shuriken</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put 2 damage counters on 1 of your opponent's Pokémon.",['[W] Water Drip (20)'],Gx2,,1.0,0.25,1.18,19.98,2026-06-07T08:18:32.103877,1.08,1.47,Reverse Holofoil,0.13,0.02,0.06,0.12,0.19,0.15,2026-06-07T07:58:38.080911,normal,,
Card,https://www.tcgplayer.com/product/610457,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Bug-Catching-Set-PRE102,Bug Catching Set,Bug Catching Set,SV: Prismatic Evolutions,PRE,23821,102/131,Uncommon,Trainer - Item,,,Look at the top 7 cards of your deck. You may reveal up to 2 in any combination of Grass Pokemon and Basic Grass Energy cards you find there and put them into your hand. Shuffle the other cards back into your deck.,[],,,,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.17,,Normal,0.09,0.02,0.12,0.11,0.09,0.09,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610488,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Atticus-V1-PRE133,Atticus - 133/131,Atticus,SV: Prismatic Evolutions,PRE,23821,133/131,Ultra Rare,Trainer - Supporter,,,"You can use this card only if your opponent's Active Pokemon is Poisoned.<br>Shuffle your hand into your deck. Then, draw 7 cards.",[],,,,0.35,0.95,999.99,2026-06-12T08:53:22.81957,0.77,,Holofoil,,,,,,0.0,2026-06-12T08:38:23.984889,holo,,
Card,https://www.tcgplayer.com/product/610496,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Ortega-PRE141,Ortega,Ortega,SV: Prismatic Evolutions,PRE,23821,141/131,Ultra Rare,Trainer - Supporter,,,"Your opponent reveals their hand, and you choose a card you find there and put it on the bottom of their deck. If you put a card on the bottom of your opponent's deck in this way, your opponent may draw a card.",[],,,,0.2,0.75,4321.0,2026-06-12T08:53:22.81957,0.52,,Holofoil,0.7,0.09,0.72,0.73,0.71,0.72,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/165676,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Clauncher-FLI025,Clauncher,Clauncher,SM - Forbidden Light,SM06,2209,25/131,Common,Water,60.0,Basic,,['[W] Water Gun (10)'],Gx2,,1.0,0.15,0.4,19.98,2026-06-07T08:18:32.103877,0.34,,Reverse Holofoil,0.36,0.12,0.3,0.43,0.36,0.43,2026-06-07T07:58:38.080911,holo,,
Card,https://www.tcgplayer.com/product/605626,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Sky-Field,Sky Field,Sky Field,CP4: Premium Champion Pack,CP4,23972,129/131,,Trainer - Stadium,,,,[],,,,5.0,6.5,8.0,2026-06-07T08:18:41.300825,,,Normal,,1.49,,,,0.0,2026-06-07T07:58:42.177899,normal,,
Card,https://www.tcgplayer.com/product/610466,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Haban-Berry-PRE111,Haban Berry,Haban Berry,SV: Prismatic Evolutions,PRE,23821,111/131,Common,Trainer - Pokemon Tool,,,"If the Pokemon this card is attached to is damaged by an attack from your opponent's Dragon Pokemon, it takes 60 less damage <em>(after applying Weakness and Resistance)</em>, and discard this card.",[],,,,0.01,0.14,999.0,2026-06-12T08:53:22.81957,0.07,0.01,Normal,0.03,0.02,0.02,0.03,0.03,0.02,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610455,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Briar-PRE100,Briar,Briar,SV: Prismatic Evolutions,PRE,23821,100/131,Uncommon,Trainer - Supporter,,,"You can use this card only if your opponent has exactly 2 Prize cards remaining.<br>During this turn, if your opponent's Active Pokemon is Knocked Out by damage from an attack used by your Tera Pokemon, take 1 more Prize card.",[],,,,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.13,0.05,Normal,0.04,0.02,0.03,0.04,0.04,0.04,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610504,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Vaporeon-ex-V2-PRE149,Vaporeon ex - 149/131,Vaporeon ex,SV: Prismatic Evolutions,PRE,23821,149/131,Special Illustration Rare,Water,280.0,Stage 1,,"[""[WC] Severe Squall<br> This attack does 60 damage to each of your opponent's Pokemon ex. This attack's damage isn't affected by Weakness or Resistance."", ""[RWL] Aquamarine (280)<br> During your next turn, this Pokemon can't attack.""]",Lx2,,2.0,245.0,345.24,2000.0,2026-06-12T08:53:22.81957,291.39,,Holofoil,162.34,105.48,200.0,166.62,153.59,168.18,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610468,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Kieran-V1-PRE113,Kieran - 113/131,Kieran,SV: Prismatic Evolutions,PRE,23821,113/131,Uncommon,Trainer - Supporter,,,"Choose 1:<br>* Switch your Active Pokemon with 1 of your Benched Pokemon.<br>* During this turn, attacks used by your Pokemon do 30 more damage to your opponent's Active Pokemon ex and Active Pokemon V <em>(before applying Weakness and Resistance)</em>.",[],,,,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.16,0.02,Reverse Holofoil,0.05,0.02,0.04,0.04,0.05,0.05,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glaceon-PRE025,Glaceon,,,PRE,23821,25,,,,,,,,,,,,,,,,,0.27,0.02,0.25,0.27,0.26,0.28,2026-06-12T08:38:23.984889,holo,,
Card,https://www.tcgplayer.com/product/481934,,Beast Energy Prism Star - 2018 (Naohito Inoue),Beast Energy Prism Star 2018 Naohito Inoue,World Championship Decks,WCD,2282,117/131,Uncommon,Special Energy,,,"This card provides 1 Colorless Energy.
<br>While this card is attached to an Ultra Beast, it provides every type of Energy but provides only 1 Energy at a time. The attacks of the Ultra Beast this card is attached to do 30 more damage to your opponent's Active Pokémon <em>(before applying Weakness and Resistance)</em>.",[],,,,1.92,8.0,93.4,2026-06-07T08:18:32.103877,2.02,,Normal,,,,,,,,,,
Card,https://www.tcgplayer.com/product/610501,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Flareon-ex-V2-PRE146,Flareon ex - 146/131,Flareon ex,SV: Prismatic Evolutions,PRE,23821,146/131,Special Illustration Rare,Fire,270.0,Stage 1,,"['[RC] Burning Charge (130)<br> Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.', ""[RWL] Carnelian (280)<br> During your next turn, this Pokemon can't attack.""]",Wx2,,2.0,180.0,227.18,1595.1,2026-06-12T08:53:22.81957,203.96,203.96,Holofoil,144.49,85.0,169.0,149.61,144.27,155.61,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610479,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professors-Research-Professor-Rowan-PRE124,Professor's Research [Professor Rowan],Professors Research Professor Rowan,SV: Prismatic Evolutions,PRE,23821,124/131,Common,Trainer - Supporter,,,Discard your hand and draw 7 cards.,[],,,,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.09,0.01,Normal,0.03,0.02,0.02,0.03,0.03,0.04,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Pikachu-ex-PRE028,Pikachu ex,,,PRE,23821,28,,,,,,,,,,,,,,,,,2.52,0.6,2.55,2.07,2.13,2.28,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610489,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Atticus-V2-PRE134,Atticus - 134/131,Atticus,SV: Prismatic Evolutions,PRE,23821,134/131,Ultra Rare,Trainer - Supporter,,,"You can use this card only if your opponent's Active Pokemon is Poisoned.<br>Shuffle your hand into your deck. Then, draw 7 cards.",[],,,,0.29,0.85,999.0,2026-06-12T08:53:22.81957,0.77,0.69,Holofoil,0.69,0.08,0.66,0.7,0.7,0.72,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Sylveon-ex-V1-PRE041,Sylveon ex,,,PRE,23821,41,,,,,,,,,,,,,,,,,2.35,0.5,2.33,2.5,2.39,2.54,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610367,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Teal-Mask-Ogerpon-ex-V1-PRE012,Teal Mask Ogerpon ex - 012/131,Teal Mask Ogerpon ex,SV: Prismatic Evolutions,PRE,23821,012/131,Double Rare,Grass,210.0,Basic,"<strong>Ability: Teal Dance</strong> Once during your turn, you may attach a Basic Grass Energy card from your hand to this Pokemon. If you attached Energy to a Pokemon in this way, draw a card.",['[GGG] Myriad Leaf Shower (30+)<br> This attack does 30 more damage for each Energy attached to both Active Pokemon.'],Rx2,,1.0,2.8,4.03,4321.0,2026-06-07T08:18:25.063387,3.53,,Holofoil,,,,,,0.0,2026-06-07T07:58:50.864461,holo,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Seaking-PRE021,Seaking,,,PRE,23821,21,,,,,,,,,,,,,,,,,0.05,0.02,0.04,0.07,0.05,0.06,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Sylveon-PRE040,Sylveon,,,PRE,23821,40,,,,,,,,,,,,,,,,,0.24,0.02,0.24,0.18,0.24,0.15,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610621,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glass-Trumpet-PRE110,Glass Trumpet (Poke Ball Pattern),Glass Trumpet Poke Ball Pattern,SV: Prismatic Evolutions,PRE,23821,110/131,Uncommon,Trainer - Item,,,You can use this card only if you have any Tera Pokemon in play.<br>Choose up to 2 of your Benched Colorless Pokemon and attach a Basic Energy card from your discard pile to each of them.,[],,,,0.01,0.34,999.0,2026-06-07T08:18:25.063387,0.3,0.33,Holofoil,0.04,0.02,0.03,0.03,0.04,0.03,2026-06-07T07:58:50.864461,normal,,
Card,https://www.tcgplayer.com/product/610491,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Eri-PRE136,Eri,Eri,SV: Prismatic Evolutions,PRE,23821,136/131,Ultra Rare,Trainer - Supporter,,,"Your opponent reveals their hand, and you discard up to 2 Item cards you find there.",[],,,,0.4,1.17,9999.0,2026-06-12T08:53:22.81957,0.99,,Holofoil,1.01,0.2,1.05,0.99,1.02,1.18,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/648647,,Glaceon ex - 026/131,Glaceon ex,Prize Pack Series Cards,22880,22880,026/131,Double Rare,Water,270.0,Stage 1,,"[""[WC] Frost Bullet (110)<br> This attack also does 30 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>"", ""[GWD] Euclase<br> Knock Out 1 of your opponent's Pokemon that has exactly 6 damage counters on it.""]",Mx2,,1.0,14.0,22.05,156.8,2026-06-07T08:18:28.653306,19.68,,Holofoil,,,,,,,,,,
Card,https://www.tcgplayer.com/product/654775,,Flareon - 013/131 (Cosmos Holo),Flareon 013 131 Cosmos Holo,Miscellaneous Cards & Products,MCAP,2374,013/131,Rare,Fire,130.0,Stage 1,,"[""[R] Destructive Flame (30)<br> Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."", ""[RCC] Fighting Blaze (90+)<br> If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.""]",Wx2,,3.0,0.73,1.25,19.98,2026-06-07T08:18:38.119676,1.1,,Holofoil,,,,,,,,,,
