card_name,card_clean_name,card_set_name,card_set_code,card_set_id,card_number,tcgplayer_url,cardmarket_url,low_price,mid_price,high_price,updated_at,direct_low_price,sub_type_name
Max Rod,Max Rod,SV: Prismatic Evolutions,PRE,23821,116/131,https://www.tcgplayer.com/product/610471,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Max-Rod-PRE116,0.35,0.89,4321.0,2026-06-12T08:53:22.81957,0.84,Holofoil
Roto-Stick,Roto Stick,SV: Prismatic Evolutions,PRE,23821,127/131,https://www.tcgplayer.com/product/610482,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Roto-Stick-PRE127,0.03,0.25,999.0,2026-06-12T08:53:22.81957,,Reverse Holofoil
Fezandipiti,,,PRE,23821,45,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Fezandipiti-PRE045,,,,,,
Carmine,Carmine,SV: Prismatic Evolutions,PRE,23821,103/131,https://www.tcgplayer.com/product/610458,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Carmine-PRE103,0.03,0.22,999.0,2026-06-12T08:53:22.81957,0.1,Reverse Holofoil
Flareon,Flareon,SV: Prismatic Evolutions,PRE,23821,013/131,https://www.tcgplayer.com/product/610368,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Flareon-PRE013,0.01,0.31,4321.0,2026-06-07T08:18:25.063387,0.18,Holofoil
Eevee - 074/131 (Pokemon Day 2025) (Reverse Cosmos Holo),Eevee 074 131 Pokemon Day 2025 Reverse Cosmos Holo,Miscellaneous Cards & Products,MCAP,2374,074/131,https://www.tcgplayer.com/product/619725,,2.49,5.19,96.95,2026-06-07T08:18:38.119676,5.17,Reverse Holofoil
Professor's Research [Professor Elm],Professors Research Professor Elm,SV: Prismatic Evolutions,PRE,23821,123/131,https://www.tcgplayer.com/product/610478,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professors-Research-Professor-Elm-PRE124,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.01,Normal
Frogadier,Frogadier,SM - Forbidden Light,SM06,2209,23/131,https://www.tcgplayer.com/product/165672,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Frogadier-FLI23,0.25,1.18,19.98,2026-06-07T08:18:32.103877,1.47,Reverse Holofoil
Bug Catching Set,Bug Catching Set,SV: Prismatic Evolutions,PRE,23821,102/131,https://www.tcgplayer.com/product/610457,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Bug-Catching-Set-PRE102,0.01,0.2,999.0,2026-06-12T08:53:22.81957,,Normal
Atticus - 133/131,Atticus,SV: Prismatic Evolutions,PRE,23821,133/131,https://www.tcgplayer.com/product/610488,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Atticus-V1-PRE133,0.35,0.95,999.99,2026-06-12T08:53:22.81957,,Holofoil
Ortega,Ortega,SV: Prismatic Evolutions,PRE,23821,141/131,https://www.tcgplayer.com/product/610496,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Ortega-PRE141,0.2,0.75,4321.0,2026-06-12T08:53:22.81957,,Holofoil
Clauncher,Clauncher,SM - Forbidden Light,SM06,2209,25/131,https://www.tcgplayer.com/product/165676,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Clauncher-FLI025,0.15,0.4,19.98,2026-06-07T08:18:32.103877,,Reverse Holofoil
Sky Field,Sky Field,CP4: Premium Champion Pack,CP4,23972,129/131,https://www.tcgplayer.com/product/605626,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Sky-Field,5.0,6.5,8.0,2026-06-07T08:18:41.300825,,Normal
Haban Berry,Haban Berry,SV: Prismatic Evolutions,PRE,23821,111/131,https://www.tcgplayer.com/product/610466,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Haban-Berry-PRE111,0.01,0.14,999.0,2026-06-12T08:53:22.81957,0.01,Normal
Briar,Briar,SV: Prismatic Evolutions,PRE,23821,100/131,https://www.tcgplayer.com/product/610455,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Briar-PRE100,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.05,Normal
Vaporeon ex - 149/131,Vaporeon ex,SV: Prismatic Evolutions,PRE,23821,149/131,https://www.tcgplayer.com/product/610504,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Vaporeon-ex-V2-PRE149,245.0,345.24,2000.0,2026-06-12T08:53:22.81957,,Holofoil
Kieran - 113/131,Kieran,SV: Prismatic Evolutions,PRE,23821,113/131,https://www.tcgplayer.com/product/610468,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Kieran-V1-PRE113,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.02,Reverse Holofoil
Glaceon,,,PRE,23821,25,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glaceon-PRE025,,,,,,
Beast Energy Prism Star - 2018 (Naohito Inoue),Beast Energy Prism Star 2018 Naohito Inoue,World Championship Decks,WCD,2282,117/131,https://www.tcgplayer.com/product/481934,,1.92,8.0,93.4,2026-06-07T08:18:32.103877,,Normal
Flareon ex - 146/131,Flareon ex,SV: Prismatic Evolutions,PRE,23821,146/131,https://www.tcgplayer.com/product/610501,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Flareon-ex-V2-PRE146,180.0,227.18,1595.1,2026-06-12T08:53:22.81957,203.96,Holofoil
Professor's Research [Professor Rowan],Professors Research Professor Rowan,SV: Prismatic Evolutions,PRE,23821,124/131,https://www.tcgplayer.com/product/610479,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professors-Research-Professor-Rowan-PRE124,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.01,Normal
Pikachu ex,,,PRE,23821,28,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Pikachu-ex-PRE028,,,,,,
Atticus - 134/131,Atticus,SV: Prismatic Evolutions,PRE,23821,134/131,https://www.tcgplayer.com/product/610489,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Atticus-V2-PRE134,0.29,0.85,999.0,2026-06-12T08:53:22.81957,0.69,Holofoil
Sylveon ex,,,PRE,23821,41,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Sylveon-ex-V1-PRE041,,,,,,
Teal Mask Ogerpon ex - 012/131,Teal Mask Ogerpon ex,SV: Prismatic Evolutions,PRE,23821,012/131,https://www.tcgplayer.com/product/610367,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Teal-Mask-Ogerpon-ex-V1-PRE012,2.8,4.03,4321.0,2026-06-07T08:18:25.063387,,Holofoil
Seaking,,,PRE,23821,21,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Seaking-PRE021,,,,,,
Sylveon,,,PRE,23821,40,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Sylveon-PRE040,,,,,,
Glass Trumpet (Poke Ball Pattern),Glass Trumpet Poke Ball Pattern,SV: Prismatic Evolutions,PRE,23821,110/131,https://www.tcgplayer.com/product/610621,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glass-Trumpet-PRE110,0.01,0.34,999.0,2026-06-07T08:18:25.063387,0.33,Holofoil
Eri,Eri,SV: Prismatic Evolutions,PRE,23821,136/131,https://www.tcgplayer.com/product/610491,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Eri-PRE136,0.4,1.17,9999.0,2026-06-12T08:53:22.81957,,Holofoil
Glaceon ex - 026/131,Glaceon ex,Prize Pack Series Cards,22880,22880,026/131,https://www.tcgplayer.com/product/648647,,14.0,22.05,156.8,2026-06-07T08:18:28.653306,,Holofoil
Flareon - 013/131 (Cosmos Holo),Flareon 013 131 Cosmos Holo,Miscellaneous Cards & Products,MCAP,2374,013/131,https://www.tcgplayer.com/product/654775,,0.73,1.25,19.98,2026-06-07T08:18:38.119676,,Holofoil
Raifort,Raifort,SV: Prismatic Evolutions,PRE,23821,142/131,https://www.tcgplayer.com/product/610497,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Raifort-PRE142,0.24,0.93,4321.0,2026-06-12T08:53:22.81957,0.65,Holofoil
Iron Hands ex,,,PRE,23821,31,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Iron-Hands-ex-V1-PRE031,,,,,,
Applin,,,PRE,23821,9,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Applin-PRE009,,,,,,
Terapagos ex - 180/131,Terapagos ex,SV: Prismatic Evolutions,PRE,23821,180/131,https://www.tcgplayer.com/product/610535,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Terapagos-ex-V3-PRE180,9.37,13.0,999.0,2026-06-12T08:53:22.81957,11.9,Holofoil
Treasure Tracker,Treasure Tracker,SV: Prismatic Evolutions,PRE,23821,131/131,https://www.tcgplayer.com/product/610486,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Treasure-Tracker-PRE131,0.01,0.42,999.0,2026-06-12T08:53:22.81957,0.31,Holofoil
Ciphermaniac's Codebreaking,Ciphermaniacs Codebreaking,SV: Prismatic Evolutions,PRE,23821,104/131,https://www.tcgplayer.com/product/610459,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Ciphermaniacs-Codebreaking-PRE104,0.01,0.24,999.0,2026-06-12T08:53:22.81957,0.03,Reverse Holofoil
Professor Sada's Vitality,Professor Sadas Vitality,SV: Prismatic Evolutions,PRE,23821,120/131,https://www.tcgplayer.com/product/610475,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professor-Sadas-Vitality-PRE120,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.02,Reverse Holofoil
Scream Tail,,,PRE,23821,42,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Scream-Tail-PRE042,,,,,,
Exeggutor,,,PRE,23821,2,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Exeggutor-PRE002,,,,,,
Teal Mask Ogerpon ex - 145/131,Teal Mask Ogerpon ex,SV: Prismatic Evolutions,PRE,23821,145/131,https://www.tcgplayer.com/product/610500,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Teal-Mask-Ogerpon-ex-V2-PRE145,22.34,26.99,9999.0,2026-06-12T08:53:22.81957,,Holofoil
Groudon,,,PRE,23821,49,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Groudon-PRE049,,,,,,
Leafeon ex - 144/131,Leafeon ex,SV: Prismatic Evolutions,PRE,23821,144/131,https://www.tcgplayer.com/product/610499,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Leafeon-ex-V2-PRE144,329.99,360.0,999.0,2026-06-12T08:53:22.81957,414.67,Holofoil
Duskull,,,PRE,23821,35,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Duskull-PRE035,,,,,,
Scoop Up Cyclone,Scoop Up Cyclone,SV: Prismatic Evolutions,PRE,23821,128/131,https://www.tcgplayer.com/product/610483,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Scoop-Up-Cyclone-PRE128,0.1,0.48,999.0,2026-06-12T08:53:22.81957,0.4,Holofoil
Leafeon ex,,,PRE,23821,6,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Leafeon-ex-V1-PRE006,,,,,,
Spritzee,,,PRE,23821,38,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Spritzee-PRE038,,,,,,
Sylveon ex - 041/131 (Prismatic Evolutions Stamp),Sylveon ex 041 131 Prismatic Evolutions Stamp,Miscellaneous Cards & Products,MCAP,2374,041/131,https://www.tcgplayer.com/product/618119,,7.62,11.99,4321.0,2026-06-07T08:18:38.119676,,Holofoil
Iron Thorns ex,,,PRE,23821,32,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Iron-Thorns-ex-PRE032,,,,,,
Jolteon,,,PRE,23821,29,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Jolteon-PRE029,,,,,,
Jolteon ex - 030/131,Jolteon ex,Prize Pack Series Cards,22880,22880,030/131,https://www.tcgplayer.com/product/648666,,22.5,27.81,163.0,2026-06-07T08:18:28.653306,,Holofoil
Pupitar,,,PRE,23821,48,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Pupitar-PRE048,,,,,,
Glaceon ex,,,PRE,23821,26,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glaceon-ex-V1-PRE026,,,,,,
Lacey - 175/131,Lacey,SV: Prismatic Evolutions,PRE,23821,175/131,https://www.tcgplayer.com/product/610530,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Lacey-V2-PRE175,27.74,30.98,999.0,2026-06-07T08:18:25.063387,,Holofoil
Suicune,,,PRE,23821,24,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Suicune-PRE024,,,,,,
Ceruledge ex,Ceruledge ex,SV: Prismatic Evolutions,PRE,23821,147/131,https://www.tcgplayer.com/product/610502,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Ceruledge-ex-PRE147,94.01,116.24,4321.0,2026-06-12T08:53:22.81957,,Holofoil
Pinsir,,,PRE,23821,3,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Pinsir-PRE003,,,,,,
Honedge (47),Honedge 47,SM - Forbidden Light,SM06,2209,47/131,https://www.tcgplayer.com/product/165698,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Honedge-FLI047,0.04,0.2,19.98,2026-06-07T08:18:32.103877,,Normal
Cubchoo,Cubchoo,CP4: Premium Champion Pack,CP4,23972,031/131,https://www.tcgplayer.com/product/605528,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Cubchoo,3.69,4.4,5.0,2026-06-07T08:18:41.300825,,Normal
Froakie (22),Froakie 22,SM - Forbidden Light,SM06,2209,22/131,https://www.tcgplayer.com/product/165671,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Froakie-FLI022,0.06,0.3,1.67,2026-06-07T08:18:32.103877,,Normal
Gengar Spirit Link,Gengar Spirit Link,CP4: Premium Champion Pack,CP4,23972,111/131,https://www.tcgplayer.com/product/605608,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Gengar-Spirit-Link,25.0,25.0,25.0,2026-06-03T10:16:32.039161,,Normal
Delphox,Delphox,CP4: Premium Champion Pack,CP4,23972,019/131,https://www.tcgplayer.com/product/605516,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Delphox-CP4019,5.0,5.0,5.0,2026-06-07T08:18:41.300825,,Normal
Budew,,,PRE,23821,4,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Budew-PRE004,,,,,,
Espeon,,,PRE,23821,33,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Espeon-PRE033,,,,,,
Dimension Valley,Dimension Valley,CP4: Premium Champion Pack,CP4,23972,128/131,https://www.tcgplayer.com/product/605625,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Dimension-Valley,,,,,,
Professor's Research [Professor Sycamore],Professors Research Professor Sycamore,SV: Prismatic Evolutions,PRE,23821,125/131,https://www.tcgplayer.com/product/610480,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professors-Research-Professor-Sycamore-PRE125,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.03,Normal
Ogre's Mask,Ogres Mask,SV: Prismatic Evolutions,PRE,23821,118/131,https://www.tcgplayer.com/product/610473,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Ogres-Mask-PRE118,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.01,Reverse Holofoil
Sparkling Crystal,Sparkling Crystal,SV: Prismatic Evolutions,PRE,23821,129/131,https://www.tcgplayer.com/product/610484,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Sparkling-Crystal-PRE129,0.1,0.46,999.0,2026-06-12T08:53:22.81957,0.39,Holofoil
Techno Radar,Techno Radar,SV: Prismatic Evolutions,PRE,23821,130/131,https://www.tcgplayer.com/product/610485,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Techno-Radar-PRE130,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.01,Reverse Holofoil
Mela,Mela,SV: Prismatic Evolutions,PRE,23821,140/131,https://www.tcgplayer.com/product/610495,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Mela-PRE140,0.23,1.0,999.0,2026-06-12T08:53:22.81957,,Holofoil
Munkidori,,,PRE,23821,44,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Munkidori-PRE044,,,,,,
Wailmer,Wailmer,smH: GX Starter Decks,smH,23888,027/131,https://www.tcgplayer.com/product/599242,https://www.cardmarket.com/en/Pokemon/Products/Singles/GX-Starter-Decks/Wailmer,2.0,2.19,2.79,2026-06-07T08:18:40.241278,,Normal
Umbreon ex - 161/131,Umbreon ex,SV: Prismatic Evolutions,PRE,23821,161/131,https://www.tcgplayer.com/product/610516,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Umbreon-ex-V2-PRE161,1450.0,1939.49,5000.0,2026-06-07T08:18:25.063387,1773.95,Holofoil
Lacey - 114/131,Lacey,SV: Prismatic Evolutions,PRE,23821,114/131,https://www.tcgplayer.com/product/610469,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Lacey-V1-PRE114,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.01,Reverse Holofoil
Float Stone,Float Stone,CP4: Premium Champion Pack,CP4,23972,109/131,https://www.tcgplayer.com/product/605606,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Float-Stone-CP4109,,,,,,
Goldeen,,,PRE,23821,20,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Goldeen-PRE020,,,,,,
Flareon ex - 014/131,Flareon ex,Prize Pack Series Cards,22880,22880,014/131,https://www.tcgplayer.com/product/648637,,23.38,24.76,414.9,2026-06-07T08:18:28.653306,,Holofoil
Leafeon,,,PRE,23821,5,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Leafeon-PRE005,,,,,,
Flutter Mane,,,PRE,23821,43,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Flutter-Mane-PRE043,,,,,,
Zygarde - 72/131 (Cosmos Holo),Zygarde 72 131 Cosmos Holo,Miscellaneous Cards & Products,MCAP,2374,072/131,https://www.tcgplayer.com/product/167222,,4.92,6.67,96.95,2026-06-07T08:18:38.119676,8.39,Holofoil
Slowking,,,PRE,23821,19,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Slowking-PRE019,,,,,,
Professor's Research [Professor Oak],Professors Research Professor Oak,SV: Prismatic Evolutions,PRE,23821,122/131,https://www.tcgplayer.com/product/610477,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professors-Research-Professor-Oak-PRE122,0.01,0.2,999.0,2026-06-12T08:53:22.81957,0.01,Reverse Holofoil
Brassius,Brassius,SV: Prismatic Evolutions,PRE,23821,135/131,https://www.tcgplayer.com/product/610490,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Brassius-PRE135,0.13,0.75,999.0,2026-06-12T08:53:22.81957,,Holofoil
Crispin - 105/131,Crispin,SV: Prismatic Evolutions,PRE,23821,105/131,https://www.tcgplayer.com/product/610460,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Crispin-V1-PRE105,0.02,0.27,999.0,2026-06-12T08:53:22.81957,0.03,Reverse Holofoil
Vaporeon,,,PRE,23821,22,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Vaporeon-PRE022,,,,,,
Froakie (21),Froakie 21,SM - Forbidden Light,SM06,2209,21/131,https://www.tcgplayer.com/product/165670,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Froakie-FLI21,0.08,0.26,10.0,2026-06-07T08:18:32.103877,,Normal
Giacomo,Giacomo,SV: Prismatic Evolutions,PRE,23821,138/131,https://www.tcgplayer.com/product/610493,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Giacomo-PRE138,0.18,0.75,999.99,2026-06-12T08:53:22.81957,,Holofoil
Festival Grounds,Festival Grounds,SV: Prismatic Evolutions,PRE,23821,108/131,https://www.tcgplayer.com/product/610463,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Festival-Grounds-PRE108,0.01,0.16,999.0,2026-06-12T08:53:22.81957,0.01,Normal
Cornerstone Mask Ogerpon ex - 160/131,Cornerstone Mask Ogerpon ex,SV: Prismatic Evolutions,PRE,23821,160/131,https://www.tcgplayer.com/product/610515,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Cornerstone-Mask-Ogerpon-ex-V2-PRE160,13.0,19.08,4321.0,2026-06-12T08:53:22.81957,,Holofoil
