type,results_id,results_card_info_name,results_card_info_clean_name,results_card_info_set_name,results_card_info_set_code,results_card_info_set_id,results_card_info_card_number,results_card_info_rarity,results_card_info_card_type,results_card_info_hp,results_card_info_stage,results_card_info_card_text,results_card_info_attacks,results_card_info_weakness,results_card_info_resistance,results_card_info_retreat_cost,results_tcgplayer_prices,results_tcgplayer_url,results_cardmarket_product_name,results_cardmarket_prices,results_cardmarket_product_url
Card,pk_e677e6be79b2c54977446c23489372fa0cbdc0f7d99b7a5a6f7e668eeb72ddf7c69bb0be036357b0718b5bc315da021b,Weavile - 228/217,Weavile,ME: Ascended Heroes,ASC,24541,228/217,Illustration Rare,Water,,,,[],,,,"[{'low_price': 6.5, 'mid_price': 8.34, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 7.9, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676040,Weavile,"[{'avg': 5.97, 'low': 2.5, 'avg1': 5.6, 'avg7': 5.76, 'avg30': 5.93, 'trend': 6.19, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Weavile-V2-ASC228
Card,pk_4b04586626cd940e7003820a178fab7e3eb54e2588d7342f22bec995afec5e3fca33869531f5d335dd40b4340f9c1f53,Ethan's Magcargo - 222/217,Ethan's Magcargo,ME: Ascended Heroes,ASC,24541,222/217,Illustration Rare,Fire,,,,[],,,,"[{'low_price': 6.5, 'mid_price': 8.87, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 7.67, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676034,Ethan's Magcargo,"[{'avg': 6.39, 'low': 2.19, 'avg1': 6.37, 'avg7': 6.21, 'avg30': 6.27, 'trend': 6.63, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Ethans-Magcargo-V2-ASC222
Card,pk_de930368a28e0300d3cdf67fc12d8c245463c78afc805cc6767bf3a3d57edd9ce4beb3579fd53e4d646af06d2f672a6f,Carbink - 242/217,Carbink,ME: Ascended Heroes,ASC,24541,242/217,Illustration Rare,Fighting,,,,[],,,,"[{'low_price': 4.67, 'mid_price': 6.38, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 6.12, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676054,Carbink,"[{'avg': 3.75, 'low': 1.39, 'avg1': 3.48, 'avg7': 3.57, 'avg30': 3.76, 'trend': 3.99, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Carbink-V2-ASC242
Card,pk_ebd87e95de885a8e9e2b4f52c206730d9dac0d0b0fc6d773f3265739e24710d9d67077902a200b20da402f1c637d71b9,Scorbunny - 225/217,Scorbunny,ME: Ascended Heroes,ASC,24541,225/217,Illustration Rare,Fire,,,,[],,,,"[{'low_price': 10.86, 'mid_price': 13.45, 'high_price': 129.9, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 11.47, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676037,Scorbunny,"[{'avg': 7.71, 'low': 1.94, 'avg1': 7.97, 'avg7': 7.39, 'avg30': 7.71, 'trend': 8.42, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Scorbunny-V2-ASC225
Card,pk_92b18bb3dd40357b54806b285d5e46509cb41027af7492b92a64618f0b59174bf646995afd2c71445d255a15a266d2a1,Dustox - 220/217,Dustox,ME: Ascended Heroes,ASC,24541,220/217,Illustration Rare,Grass,,,,[],,,,"[{'low_price': 3.49, 'mid_price': 4.98, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 4.38, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676032,Dustox,"[{'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}, {'avg': 3.21, 'low': 1, 'avg1': 3.39, 'avg7': 3.21, 'avg30': 3.13, 'trend': 3.48, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Dustox-V2-ASC220
Card,pk_65a5bd89da2e356f07ec827be8c1387eb88423fb5ba6aa71e423748c98eddd995aa195aca641be7509a15458932be9b4,Togekiss - 235/217,Togekiss,ME: Ascended Heroes,ASC,24541,235/217,Illustration Rare,Psychic,,,,[],,,,"[{'low_price': 5.99, 'mid_price': 8.01, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 7.6, 'direct_low_price': 7.7, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676047,Togekiss,"[{'avg': 4.11, 'low': 1.2, 'avg1': 3.81, 'avg7': 3.88, 'avg30': 4.06, 'trend': 4.31, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Togekiss-V2-ASC235
Card,pk_3cfc493bb9052f00218d1850069c400ca2c16e897047bb933f476692d431063ad07c47a31c1e1e268d6618ed661aec2b,Salazzle - 224/217,Salazzle,ME: Ascended Heroes,ASC,24541,224/217,Illustration Rare,Fire,,,,[],,,,"[{'low_price': 2.99, 'mid_price': 4.05, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 3.62, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676036,Salazzle,"[{'avg': 3.42, 'low': 0.9, 'avg1': 3.52, 'avg7': 3.52, 'avg30': 3.38, 'trend': 3.66, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Salazzle-V2-ASC224
Card,pk_e75d509b70d7ea3c35ad24532cfd13dd85cb1f311f5c14b1f1da3ec0bbc47e88ff2c8d6f2d8fccd2c26ed30d7b4049d9,Heliolisk - 229/217,Heliolisk,ME: Ascended Heroes,ASC,24541,229/217,Illustration Rare,Lightning,,,,[],,,,"[{'low_price': 2, 'mid_price': 3.05, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 3.1, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676041,Heliolisk,"[{'avg': 2.11, 'low': 0.8, 'avg1': 2.18, 'avg7': 2.11, 'avg30': 2.06, 'trend': 2.21, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Heliolisk-V2-ASC229
Card,pk_70bc18c160c471b6fedb592c77d6cbea18a10560ec28ff213e08117353251278481ee5b0d8da7e0a5fe77da634f7c218,Marill - 232/217,Marill,ME: Ascended Heroes,ASC,24541,232/217,Illustration Rare,Psychic,,,,[],,,,"[{'low_price': 15, 'mid_price': 19.15, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 17.14, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676044,Marill,"[{'avg': 7.88, 'low': 2.89, 'avg1': 7.99, 'avg7': 7.6, 'avg30': 7.78, 'trend': 8.71, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Marill-V2-ASC232
Card,pk_8fa6d0d3e74ba95b16557d851c65e3fff97c8e0d7207f6de5e34dc00968fb67085d797ec74266ee935754538cc227521,Budew - 221/217,Budew,ME: Ascended Heroes,ASC,24541,221/217,Illustration Rare,Grass,,,,[],,,,"[{'low_price': 10, 'mid_price': 12.75, 'high_price': 164.5, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 11.71, 'direct_low_price': 12.99, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676033,Budew,"[{'avg': 6.71, 'low': 2.4, 'avg1': 6.95, 'avg7': 6.67, 'avg30': 6.85, 'trend': 6.64, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Budew-V2-ASC221
Card,pk_4dc961f91a6289b1308782a7e5aaec0c0321586fdc00abe6697a0e15abb3a014aede14c1ebd5f70bfd45a8f179467359,Medicham - 241/217,Medicham,ME: Ascended Heroes,ASC,24541,241/217,Illustration Rare,Fighting,,,,[],,,,"[{'low_price': 5.29, 'mid_price': 7.1, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 6.24, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676053,Medicham,"[{'avg': 3.4, 'low': 1, 'avg1': 3.01, 'avg7': 3.44, 'avg30': 3.45, 'trend': 3.56, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Medicham-V2-ASC241
Card,pk_ca69ea2b6e47ade4db5beb623bc440d9d9a06525085eade3e2d2c17a7cdfe3fd75bfed603aaa488bcf2704c5728fc82b,Team Rocket's Mimikyu - 238/217,Team Rocket's Mimikyu,ME: Ascended Heroes,ASC,24541,238/217,Illustration Rare,Psychic,,,,[],,,,"[{'low_price': 29, 'mid_price': 33.89, 'high_price': 308.4, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 29.74, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676050,Team Rocket's Mimikyu,"[{'avg': 14.32, 'low': 5.9, 'avg1': 14.73, 'avg7': 14.43, 'avg30': 13.53, 'trend': 16.25, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Mimikyu-V2-ASC238
Card,pk_b2d934f07b2b68a1b4695191c6236420bb292527141643e70c089a1133fc5c3f72d434352399d9d217df1bb077dede50,Psyduck - 226/217,Psyduck,ME: Ascended Heroes,ASC,24541,226/217,Illustration Rare,Water,,,,[],,,,"[{'low_price': 97.01, 'mid_price': 119.99, 'high_price': 999, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 111.05, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676038,Psyduck,"[{'avg': 62.11, 'low': 22, 'avg1': 61.6, 'avg7': 61.94, 'avg30': 56.35, 'trend': 69.74, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Psyduck-V2-ASC226
Card,pk_24fc694fed794c67d8e5ad4e54927f949162c409011efe49cfd879a1988101404e2aefb257c2ae9477be2fb38c2dc923,Hop's Trevenant - 237/217,Hop's Trevenant,ME: Ascended Heroes,ASC,24541,237/217,Illustration Rare,Psychic,,,,[],,,,"[{'low_price': 4.99, 'mid_price': 6.8, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 6.48, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676049,Hop's Trevenant,"[{'avg': 3.84, 'low': 1, 'avg1': 4.2, 'avg7': 3.79, 'avg30': 3.76, 'trend': 4.03, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Hops-Trevenant-V2-ASC237
Card,pk_ee39d9bf0cb4a83327fba9b197f75af2fb9c0bf65c20d3c97932e90ed028d7de21902183b16361a4ee096ba61bce74bd,Hitmontop - 240/217,Hitmontop,ME: Ascended Heroes,ASC,24541,240/217,Illustration Rare,Fighting,,,,[],,,,"[{'low_price': 7.22, 'mid_price': 9.83, 'high_price': 75, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 9.41, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676052,Hitmontop,"[{'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}, {'avg': 4.08, 'low': 1.29, 'avg1': 3.96, 'avg7': 4.2, 'avg30': 4, 'trend': 4.23, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Hitmontop-V2-ASC240
Card,pk_f442dc524ab003168b0c13b6a3e0921f6695ca139ec1b65b020c6d7f88b490f500d780032e7071ae4143580cabc06239,Numel - 223/217,Numel,ME: Ascended Heroes,ASC,24541,223/217,Illustration Rare,Fire,,,,[],,,,"[{'low_price': 5.49, 'mid_price': 6.64, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 6.06, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676035,Numel,"[{'avg': 3.82, 'low': 1.39, 'avg1': 3.79, 'avg7': 3.74, 'avg30': 3.77, 'trend': 4.23, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Numel-V2-ASC223
Card,pk_8fbea73dc7527f33541938203c838cc490f5f3481a7313910749d05a57a1fc65ae34fdf78c787d0aa75c89f28e27cb72,Mega Dragonite ex - 290/217,Mega Dragonite ex,ME: Ascended Heroes,ASC,24541,290/217,Special Illustration Rare,Dragon,,,,[],,,,"[{'low_price': 848.99, 'mid_price': 924.69, 'high_price': 2999.99, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 876.62, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676102,Mega Dragonite ex,"[{'avg': 478.48, 'low': 169.9, 'avg1': 370, 'avg7': 386.17, 'avg30': 450.01, 'trend': 524.57, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Mega-Dragonite-ex-V3-ASC290
